province_name,maternal_age_risk_pct,low_knowledge_pct,stunting_prevalence_pct,maternal_age_under21_pct,maternal_age_21_39_pct,maternal_age_over40_pct,knowledge_attitude_high_pct,severely_stunting_pct,stunting_pct,normal_height_for_age_pct
Aceh,9.4,99.7,28.6,4.5,90.0,4.9,0.3,,28.6,71.4
Bali,12.5,99.7,8.7,8.3,87.3,4.2,0.3,,8.7,91.3
Bangka Belitung,13.0,99.6,20.1,8.8,86.9,4.2,0.4,,20.1,79.9
Banten,10.8,99.6,21.1,5.2,89.2,5.6,0.4,,21.1,78.9
Bengkulu,13.3,99.5,18.8,8.7,86.5,4.6,0.5,,18.8,81.2
DI Yogyakarta,9.6,97.8,17.4,5.0,90.3,4.6,2.2,,17.4,82.6
DKI Jakarta,9.4,99.3,17.3,4.6,90.6,4.8,0.7,,17.3,82.7
Gorontalo,17.4,100.0,23.8,12.6,82.5,4.8,0.0,,23.8,76.2
Jambi,11.4,98.6,17.1,7.1,88.5,4.3,1.4,,17.1,82.9
Jawa Barat,12.4,98.9,15.9,7.2,87.6,5.2,1.1,,15.9,84.1
Jawa Tengah,11.0,91.8,17.1,7.3,89.0,3.7,8.2,,17.1,82.9
Jawa Timur,12.7,98.9,14.7,8.5,86.8,4.2,1.1,,14.7,85.3
Kalimantan Barat,16.7,98.7,26.8,11.5,83.2,5.2,1.3,,26.8,73.2
Kalimantan Selatan,14.1,99.2,22.9,9.6,85.9,4.5,0.8,,22.9,77.1
Kalimantan Tengah,16.9,99.0,22.1,11.4,82.9,5.5,1.0,,22.1,77.9
Kalimantan Timur,12.5,99.5,22.2,8.0,87.4,4.5,0.5,,22.2,77.8
Kalimantan Utara,16.0,99.7,17.6,8.5,83.9,7.5,0.3,,17.6,82.4
Kepulauan Riau,10.3,99.8,15.0,4.0,89.5,6.3,0.2,,15.0,85.0
Lampung,12.0,99.6,15.9,6.7,87.9,5.3,0.4,,15.9,84.1
Maluku,17.9,99.9,28.4,9.2,80.8,8.7,0.1,,28.4,71.6
Maluku Utara,20.0,99.9,23.2,12.2,79.1,7.8,0.1,,23.2,76.8
Nusa Tenggara Barat,16.0,99.7,29.8,10.3,83.9,5.7,0.3,,29.8,70.2
Nusa Tenggara Timur,15.2,99.1,37.0,7.2,84.1,8.0,0.9,,37.0,63.0
Papua,18.1,96.1,24.7,10.8,81.2,7.3,3.9,,24.7,75.3
Papua Barat,18.6,99.5,24.6,12.1,80.5,6.5,0.5,,24.6,75.4
Papua Barat Daya,19.3,99.7,30.5,12.8,79.7,6.5,0.3,,30.5,69.5
Papua Pegunungan,,,40.0,,,,,,40.0,60.0
Papua Selatan,19.6,99.5,25.8,11.9,79.5,7.7,0.5,,25.8,74.2
Papua Tengah,,,32.5,,,,,,32.5,67.5
Riau,11.3,98.4,20.1,6.0,88.6,5.3,1.6,,20.1,79.9
Sulawesi Barat,18.7,99.7,35.4,12.8,81.3,5.9,0.3,,35.4,64.6
Sulawesi Selatan,15.8,99.7,23.3,9.9,84.1,5.9,0.3,,23.3,76.7
Sulawesi Tengah,16.7,99.7,26.1,10.8,83.0,5.9,0.3,,26.1,73.9
Sulawesi Tenggara,16.1,99.7,26.1,9.2,83.7,6.9,0.3,,26.1,73.9
Sulawesi Utara,19.4,98.7,20.8,13.1,80.2,6.3,1.3,,20.8,79.2
Sumatera Barat,9.9,99.7,24.9,4.4,90.1,5.5,0.3,,24.9,75.1
Sumatera Selatan,13.3,99.7,15.9,9.8,86.6,3.5,0.3,,15.9,84.1
Sumatera Utara,10.3,99.5,22.0,6.2,89.4,4.1,0.5,,22.0,78.0
Indonesia,12.7,98.3,19.8,7.7,87.0,5.0,1.7,,19.8,80.2
