province_name,maternal_age_under21_pct,maternal_age_21_39_pct,maternal_age_over40_pct,maternal_age_risk_pct
Aceh,4.5,90.0,4.9,9.4
Sumatera Utara,6.2,89.4,4.1,10.3
Sumatera Barat,4.4,90.1,5.5,9.9
Riau,6.0,88.6,5.3,11.3
Jambi,7.1,88.5,4.3,11.4
Sumatera Selatan,9.8,86.6,3.5,13.3
Bengkulu,8.7,86.5,4.6,13.3
Lampung,6.7,87.9,5.3,12.0
Bangka Belitung,8.8,86.9,4.2,13.0
Kepulauan Riau,4.0,89.5,6.3,10.3
DKI Jakarta,4.6,90.6,4.8,9.4
Jawa Barat,7.2,87.6,5.2,12.4
Jawa Tengah,7.3,89.0,3.7,11.0
DI Yogyakarta,5.0,90.3,4.6,9.6
Jawa Timur,8.5,86.8,4.2,12.7
Banten,5.2,89.2,5.6,10.8
Bali,8.3,87.3,4.2,12.5
Nusa Tenggara Barat,10.3,83.9,5.7,16.0
Nusa Tenggara Timur,7.2,84.1,8.0,15.2
Kalimantan Barat,11.5,83.2,5.2,16.7
Kalimantan Tengah,11.4,82.9,5.5,16.9
Kalimantan Selatan,9.6,85.9,4.5,14.1
Kalimantan Timur,8.0,87.4,4.5,12.5
Kalimantan Utara,8.5,83.9,7.5,16.0
Sulawesi Utara,13.1,80.2,6.3,19.4
Sulawesi Tengah,10.8,83.0,5.9,16.7
Sulawesi Selatan,9.9,84.1,5.9,15.8
Sulawesi Tenggara,9.2,83.7,6.9,16.1
Gorontalo,12.6,82.5,4.8,17.4
Sulawesi Barat,12.8,81.3,5.9,18.7
Maluku,9.2,80.8,8.7,17.9
Maluku Utara,12.2,79.1,7.8,20.0
Papua Barat,12.1,80.5,6.5,18.6
Papua Barat Daya,12.8,79.7,6.5,19.3
Papua,10.8,81.2,7.3,18.1
Papua Selatan,11.9,79.5,7.7,19.6
Indonesia,7.7,87.0,5.0,12.7
