province_name,sanitation_open_babs_pct,sanitation_closed_babs_pct,sanitation_unimproved_pct,sanitation_basic_shared_pct,sanitation_basic_private_pct,sanitation_safe_pct
Aceh,3.7,2.5,5.2,3,76.4,9.2
Sumatera Utara,2.4,5.8,4.1,2.3,79.5,5.8
Sumatera Barat,6.8,13.7,6,3.3,63.9,6.3
Riau,1,5.4,6.4,2.4,75.3,9.5
Jambi,1.3,3.6,4.3,3.1,82.1,5.7
Sumatera Selatan,1.9,3.3,2.6,2.9,84.1,5.1
Bengkulu,1.4,1.9,3,3.3,85.5,4.9
Lampung,0.7,1.9,1.4,2.5,90.1,3.4
Bangka Belitung,0.5,0.7,1.9,3.3,89.1,4.4
Kepulauan Riau,0.1,5.4,0.5,0.5,85.2,8.4
DKI Jakarta,0,9.2,3.1,8.7,60,19
Jawa Barat,0.7,14.3,5,5.1,63.9,11
Jawa Tengah,0.4,5.6,4.3,5.4,69,15.3
DI Yogyakarta,0.1,2.1,1.6,4.6,71.3,20.4
Jawa Timur,1.9,2.9,4.2,3.7,76.4,10.9
Banten,2.1,4.3,3.9,1.8,72.8,15
Bali,0.3,0.3,2.6,6,79,11.8
Nusa Tenggara Barat,2,3.2,7.9,6.8,76.3,3.8
Nusa Tenggara Timur,2.9,0.9,27.9,5.1,62,1.1
Kalimantan Barat,1.2,3.4,8.1,5.6,75.6,6.1
Kalimantan Tengah,1.6,9,4.9,2.6,77.9,4
Kalimantan Selatan,0.5,7.5,6.5,2.6,79.3,3.6
Kalimantan Timur,0.2,5,1,1.5,84.2,8
Kalimantan Utara,0.5,8.8,2.2,0.5,86.5,1.5
Sulawesi Utara,1.1,0.8,4.1,3.5,81.9,8.6
Sulawesi Tengah,3.5,2.9,8.3,2.4,79.3,3.5
Sulawesi Selatan,0.6,0.7,6.3,4.9,83.2,4.4
Sulawesi Tenggara,2.1,1.8,10.9,3.8,80.1,1.3
Gorontalo,3.7,0.9,10.4,9.1,74.5,1.4
Sulawesi Barat,3.7,0.7,10.2,7.1,77,1.3
Maluku,2.6,1.6,6.6,4.5,83,1.7
Maluku Utara,1,1.1,12.4,9.8,74.9,0.8
Papua Barat,1.2,4.7,5.3,8.4,76.1,4.4
Papua Barat Daya,1.4,5.7,10.2,15.7,65,2.1
Papua,2.3,6.1,3.8,5,77.2,5.7
Papua Selatan,12.1,3.7,15.2,5.8,62.2,1
Indonesia,1.7,6,5.6,4.2,73.2,9.3
