province_name,severely_stunting_pct,stunting_pct,normal_height_for_age_pct,stunting_prevalence_pct
Aceh,,28.6,71.4,28.6
Sumatera Utara,,22.0,78.0,22.0
Sumatera Barat,,24.9,75.1,24.9
Riau,,20.1,79.9,20.1
Jambi,,17.1,82.9,17.1
Sumatera Selatan,,15.9,84.1,15.9
Bengkulu,,18.8,81.2,18.8
Lampung,,15.9,84.1,15.9
Bangka Belitung,,20.1,79.9,20.1
Kepulauan Riau,,15.0,85.0,15.0
DKI Jakarta,,17.3,82.7,17.3
Jawa Barat,,15.9,84.1,15.9
Jawa Tengah,,17.1,82.9,17.1
DI Yogyakarta,,17.4,82.6,17.4
Jawa Timur,,14.7,85.3,14.7
Banten,,21.1,78.9,21.1
Bali,,8.7,91.3,8.7
Nusa Tenggara Barat,,29.8,70.2,29.8
Nusa Tenggara Timur,,37.0,63.0,37.0
Kalimantan Barat,,26.8,73.2,26.8
Kalimantan Tengah,,22.1,77.9,22.1
Kalimantan Selatan,,22.9,77.1,22.9
Kalimantan Timur,,22.2,77.8,22.2
Kalimantan Utara,,17.6,82.4,17.6
Sulawesi Utara,,20.8,79.2,20.8
Sulawesi Tengah,,26.1,73.9,26.1
Sulawesi Selatan,,23.3,76.7,23.3
Sulawesi Tenggara,,26.1,73.9,26.1
Gorontalo,,23.8,76.2,23.8
Sulawesi Barat,,35.4,64.6,35.4
Maluku,,28.4,71.6,28.4
Maluku Utara,,23.2,76.8,23.2
Papua Barat,,24.6,75.4,24.6
Papua Barat Daya,,30.5,69.5,30.5
Papua,,24.7,75.3,24.7
Papua Selatan,,25.8,74.2,25.8
Papua Tengah,,32.5,67.5,32.5
Papua Pegunungan,,40.0,60.0,40.0
Indonesia,,19.8,80.2,19.8
