province_name,water_no_access_pct,water_unimproved_pct,water_limited_pct,water_basic_pct
Aceh,0.7,7.3,1.2,90.8
Sumatera Utara,0.7,6.5,2.2,90.6
Sumatera Barat,0.7,8.9,2.4,88.1
Riau,0.1,5.8,1.8,92.4
Jambi,1.2,6.1,1.3,91.4
Sumatera Selatan,0.7,7.8,0.3,91.2
Bengkulu,0.8,9,0.4,89.8
Lampung,0.2,5.8,3,90.9
Bangka Belitung,0.1,17.4,0.7,81.7
Kepulauan Riau,0,2.9,4,93
DKI Jakarta,0,0.5,0.1,99.4
Jawa Barat,0.2,3.9,2.8,93.2
Jawa Tengah,0.1,5,1,93.9
DI Yogyakarta,0.1,4.3,0.3,95.4
Jawa Timur,0.1,1.9,2.2,95.7
Banten,0.2,2.8,0.7,96.3
Bali,0.3,1.3,2,96.4
Nusa Tenggara Barat,0.1,3.9,1.6,94.3
Nusa Tenggara Timur,1.3,13.6,12.5,72.6
Kalimantan Barat,2.1,11.6,2.9,83.4
Kalimantan Tengah,5,11.1,3.4,80.5
Kalimantan Selatan,3.5,12,0.5,84
Kalimantan Timur,0.3,9.2,1.5,88.9
Kalimantan Utara,3.3,8.1,2.8,85.8
Sulawesi Utara,0,5.8,2.7,91.4
Sulawesi Tengah,1.2,3.8,6.8,88.2
Sulawesi Selatan,0.2,5.5,4.3,90
Sulawesi Tenggara,0.1,6.7,11.7,81.5
Gorontalo,0.1,10.8,3.5,85.6
Sulawesi Barat,1.9,10.9,7.8,79.4
Maluku,0.4,3.3,7.1,89.2
Maluku Utara,1.9,16.9,4.7,76.5
Papua Barat,3.4,8.5,3.5,84.6
Papua Barat Daya,3.9,21.6,7.2,67.4
Papua,2.1,6.4,3.1,88.4
Papua Selatan,3.1,23.7,5.9,67.2
Indonesia,0.5,5.5,2.5,91.4
